race	การแข่งความเร็ว, เชื้อชาติ
shut	ปิด (ประตู/หน้าต่าง)
shy	ขี้อาย
sick	ป่วย, คลื่นไส้
side	ด้านข้าง, ฝั่ง
sight	การมองเห็น, ภาพที่เห็น
sign	ป้าย, สัญลักษณ์
signal	สัญญาณ
significant	มีนัยสำคัญ
significantly	อย่างมีนัยสำคัญ
silence	ความเงียบ
silent	เงียบกริบ, ไร้เสียง
silk	ผ้าไหม
silly	เซ่อซ่า, งี่เง่า
silver	เงิน (โลหะ/สี)
similar	คล้ายคลึง
similarity	ความคล้ายคลึง
similarly	ในทำนองเดียวกัน
simple	เรียบง่าย
simply	เพียงแค่, ง่ายๆ
since	ตั้งแต่
sincere	จริงใจ
sing	ร้องเพลง
singer	นักร้อง
singing	การร้องเพลง
single	โสด, เดี่ยว
sink	จม, อ่างล้างจาน
sir	ท่านครับ (เรียกสุภาพบุรุษ)
sister	พี่สาว/น้องสาว
sit	นั่ง
site	ไซต์, สถานที่ (เฉพาะงาน)
situation	สถานการณ์
six	หก
sixteen	สิบหก
sixty	หกสิบ
size	ขนาด
ski	เล่นสกี
skiing	กีฬาสกี
skill	ทักษะ
skin	ผิวหนัง
skirt	กระโปรง
sky	ท้องฟ้า
slave	ทาส
sleep	นอนหลับ
slice	แผ่น (ที่หั่นบาง)
slide	ลื่นไถล, สไลด์
slight	เล็กน้อยมาก
slightly	นิดหน่อย
slip	ลื่นล้ม, เผลอพลาด
slope	ทางลาดชัน
slow	ช้า
slowly	อย่างช้าๆ
small	เล็ก
smart	หัวไว, สมาร์ต
smartphone	สมาร์ตโฟน
smell	ได้กลิ่น, ดมกลิ่น
smile	ยิ้ม
smoke	ควัน
smoking	การสูบบุหรี่
smooth	เรียบลื่น
snake	งู
sneaker	รองเท้าผ้าใบ
snow	หิมะ
so	ดังนั้น, มากเหลือเกิน
soap	สบู่
soccer	ฟุตบอล (ซอคเกอร์)
social	ทางสังคม
society	สังคม
sock	ถุงเท้า
soft	นุ่ม
software	ซอฟต์แวร์
soil	ดิน (เพาะปลูก)
solar	พลังแสงอาทิตย์
soldier	ทหาร
solid	ของแข็ง, แน่นหนา
solution	ทางแก้ปัญหา
solve	แก้ปัญหา
some	บางส่วน, บ้าง
somebody	ใครบางคน (ภาษาพูด)
someone	ใครสักคน
something	บางสิ่งบางอย่าง
sometimes	บางครั้ง
somewhat	ค่อนข้าง, อยู่บ้าง
somewhere	ที่ไหนสักแห่ง
son	ลูกชาย
song	เพลง
soon	เร็วๆ นี้, ไม่ช้า
sorry	ขอโทษ, เสียใจด้วย
sort	ประเภท
soul	วิญญาณ
sound	เสียง
soup	ซุป
source	แหล่งที่มา
south	ทิศใต้
southern	ทางตอนใต้
space	อวกาศ, พื้นที่ว่าง
speak	พูด (ภาษา/ในที่ประชุม)
speaker	ผู้พูด, ลำโพง
special	พิเศษ
specialist	ผู้ชำนาญการเฉพาะทาง
species	สปีชีส์, ชนิดพันธุ์
specific	เจาะจง
specifically	โดยเจาะจง
speech	สุนทรพจน์, การพูดจา
speed	ความเร็ว
spell	สะกดคำ
spelling	การสะกดคำ
spend	ใช้จ่าย, ใช้เวลา
spending	การใช้จ่าย
spicy	เผ็ด
spider	แมงมุม
spirit	จิตวิญญาณ
spiritual	ทางจิตวิญญาณ
split	ผ่าแยก, แบ่งครึ่ง
spoken	ที่เป็นภาษาพูด
sponsor	เป็นสปอนเซอร์, อุปถัมภ์
spoon	ช้อน
sport	กีฬา
spot	จุดเฉพาะ, ตำหนิ
spread	แผ่ขยาย, ทา (เนย)
spring	ฤดูใบไม้ผลิ
square	สี่เหลี่ยมจัตุรัส
stable	มั่นคงเสถียร
stadium	สนามกีฬา (สเตเดียม)
staff	พนักงาน (รวมทั้งหมด)
stage	เวที, ขั้นตอน
stair	ขั้นบันได
stamp	แสตมป์, ตราประทับ
stand	ยืน
standard	มาตรฐาน
star	ดาว, ดารา
stare	จ้องเขม็ง
start	เริ่ม
state	รัฐ, สถานะ
statement	คำแถลง, ถ้อยแถลง
station	สถานี
statistic	ค่าสถิติ
statue	รูปปั้น
status	สถานภาพ
stay	พักอยู่, คงอยู่
steady	มั่นคงสม่ำเสมอ
steal	ขโมย
steel	เหล็กกล้า
steep	สูงชัน
step	ก้าว, ขั้น
stick	ติดแน่น, ไม้เท้า
sticky	เหนียวหนึบ
stiff	แข็งทื่อ
still	ยังคง
stock	สต็อกสินค้า, หุ้น
stomach	ท้อง, กระเพาะ
stone	ก้อนหิน
stop	หยุด
store	ร้าน (สโตร์), จัดเก็บ
storm	พายุ
story	เรื่องราว, นิทาน
stove	เตา (หุงต้ม)
straight	ตรงไป
strange	แปลก
stranger	คนแปลกหน้า
strategy	กลยุทธ์
stream	ลำธาร, สตรีม
street	ถนน (ในเมือง)
strength	พละกำลัง, จุดแข็ง
stress	ความเครียด
stretch	ยืดเหยียด
strict	เข้มงวด
strike	นัดหยุดงาน, ฟาดตี
string	เชือกเส้นเล็ก, สายเครื่องดนตรี
strong	แข็งแรง
strongly	อย่างแข็งขัน
structure	โครงสร้าง
struggle	ดิ้นรนต่อสู้
student	นักเรียน, นักศึกษา
studio	สตูดิโอ
study	การศึกษาเล่าเรียน
stuff	ข้าวของ, สิ่งละอันพันละน้อย
stupid	โง่
style	สไตล์, ลีลา
subject	วิชา, หัวข้อ
submit	ยื่นส่ง (เอกสาร/งาน)
substance	สสาร, สาร
subway	รถไฟใต้ดิน
succeed	ประสบความสำเร็จ
success	ความสำเร็จ
successful	ที่ประสบความสำเร็จ
successfully	ได้อย่างสำเร็จลุล่วง
such	เช่นนั้น, อย่างนั้น
sudden	ฉับพลัน
suddenly	ทันใดนั้น
suffer	ทุกข์ทรมาน
sugar	น้ำตาล
suggest	เสนอแนะ
suggestion	ข้อเสนอแนะ
suit	สูท, ชุดสากล
suitable	เหมาะสมกับงาน
sum	ผลรวม, ยอดเงิน
summarize	สรุปย่อ
summary	บทสรุปย่อ
summer	ฤดูร้อน
sun	ดวงอาทิตย์
Sunday	วันอาทิตย์
supermarket	ซูเปอร์มาร์เก็ต
supply	อุปทาน, เสบียง
support	สนับสนุน
supporter	ผู้สนับสนุน, กองเชียร์
suppose	คาดคะเน, สมมุติว่า
sure	แน่ใจ
surely	แน่นอนว่า
surface	พื้นผิว
surgery	การผ่าตัด
surprise	ความประหลาดใจ, เซอร์ไพรส์
surprised	รู้สึกประหลาดใจ
surprising	น่าประหลาดใจ
