eye	ดวงตา
fry	ทอด, ผัด
fuel	เชื้อเพลิง
full	เต็ม
fully	อย่างเต็มที่
fun	ความสนุก
function	หน้าที่การทำงาน, ฟังก์ชัน
fund	กองทุน, เงินทุน
fundamental	ขั้นรากฐาน
funding	เงินสนับสนุน
funny	ตลก
fur	ขนสัตว์
furniture	เฟอร์นิเจอร์
further	ไกลออกไปอีก, เพิ่มเติม
furthermore	ยิ่งไปกว่านั้น
future	อนาคต
gain	ได้รับ (เพิ่มขึ้น)
gallery	หอศิลป์, แกลเลอรี
game	เกม
gang	แก๊ง
gap	ช่องว่าง
garage	โรงรถ
garbage	ขยะ
garden	สวน
gas	แก๊ส, น้ำมันเชื้อเพลิง
gate	ประตูรั้ว, เกต
gather	รวมตัวกัน, เก็บรวบรวม
general	ทั่วไป
generally	โดยทั่วไปแล้ว
generate	ผลิตขึ้น, ก่อให้เกิด
generation	รุ่น, เจเนอเรชัน
generous	ใจกว้าง, เอื้อเฟื้อ
genre	แนว (หนัง/เพลง/หนังสือ)
gentle	อ่อนโยน
gentleman	สุภาพบุรุษ
geography	ภูมิศาสตร์
get	ได้รับ, เอา
ghost	ผี
giant	ยักษ์, ใหญ่โตมโหฬาร
gift	ของขวัญ
girl	เด็กผู้หญิง
girlfriend	แฟนสาว
give	ให้
glad	ดีใจ
glass	แก้ว, กระจก
global	ระดับโลก
glove	ถุงมือ
go	ไป
goal	เป้าหมาย, ประตู (กีฬา)
god	พระเจ้า, เทพเจ้า
gold	ทองคำ
golf	กอล์ฟ
good	ดี
goodbye	ลาก่อน
goods	สินค้า
govern	ปกครอง
government	รัฐบาล
governor	ผู้ว่าการรัฐ
grab	คว้า, ฉวย
grade	เกรด, ระดับชั้น
gradually	ทีละน้อย
graduate	บัณฑิต, ผู้สำเร็จการศึกษา
grain	เมล็ดธัญพืช
grand	ยิ่งใหญ่อลังการ
grandfather	ปู่, ตา
grandmother	ย่า, ยาย
grandparent	ปู่ย่าตายาย
grant	มอบให้ (สิทธิ์/ทุน)
grass	หญ้า
grateful	รู้สึกขอบคุณ
gray	สีเทา
great	เยี่ยม, ยิ่งใหญ่
green	สีเขียว
greet	ทักทาย
grocery	ร้านขายของชำ
ground	พื้นดิน
group	กลุ่ม
grow	เติบโต, ปลูก
growth	การเติบโต
guarantee	รับประกัน
guard	ยาม, ผู้คุ้มกัน
guess	เดา
guest	แขกผู้มาเยือน
guide	ไกด์, คู่มือนำทาง
guilty	รู้สึกผิด, มีความผิด
guitar	กีตาร์
gun	ปืน
guy	หนุ่มคนนั้น, นาย (ภาษาพูด)
gym	โรงยิม, ฟิตเนส
habit	นิสัย, กิจวัตร
hair	เส้นผม
half	ครึ่งหนึ่ง
hall	ห้องโถง
hand	มือ
handle	รับมือจัดการ
hang	แขวน
happen	เกิดขึ้น
happily	อย่างมีความสุข
happiness	ความสุข
happy	มีความสุข
hard	แข็ง, ยากลำบาก
hardly	แทบจะไม่
harm	อันตรายที่เกิดแก่, ภยันตราย
harmful	เป็นโทษ
hat	หมวก
hate	เกลียด
have	มี
have to	จำเป็นต้อง
he	เขา (ผู้ชาย)
head	ศีรษะ, หัว
headache	อาการปวดหัว
headline	พาดหัวข่าว
health	สุขภาพ
healthy	แข็งแรง, ดีต่อสุขภาพ
hear	ได้ยิน
hearing	การได้ยิน, การไต่สวน
heart	หัวใจ
heat	ความร้อน
heating	ระบบทำความร้อน
heaven	สวรรค์
heavily	อย่างหนักหน่วง
heavy	หนัก
heel	ส้นเท้า
height	ความสูง
helicopter	เฮลิคอปเตอร์
hell	นรก
hello	สวัสดี
help	ช่วยเหลือ
helpful	มีประโยชน์ช่วยได้มาก
her	เธอ, ของเธอ
here	ที่นี่
hero	วีรบุรุษ, ฮีโร่
hers	ของเธอ (สรรพนามแสดงเจ้าของ)
herself	ตัวเธอเอง
hesitate	ลังเล
hey	เฮ้! (เรียกความสนใจ)
hi	หวัดดี
hide	ซ่อน
high	สูง
highlight	เน้นจุดเด่น, ไฮไลต์
highly	อย่างสูง, อย่างมาก
highway	ทางหลวง
hill	เนินเขา
him	เขา (กรรมของ he)
himself	ตัวเขาเอง
hire	จ้าง (งาน/ชั่วคราว)
his	ของเขา (ผู้ชาย)
historic	ครั้งประวัติศาสตร์
historical	เชิงประวัติศาสตร์
history	ประวัติศาสตร์
hit	ตี, ชน, ฮิต
hobby	งานอดิเรก
hockey	ฮอกกี้
hold	ถือ, จับไว้
hole	รู, หลุม
holiday	วันหยุด
hollow	กลวง
holy	ศักดิ์สิทธิ์
home	บ้าน (ที่พักใจ)
homework	การบ้าน
honest	ซื่อสัตย์
honor	เกียรติยศ
hope	หวัง
horrible	น่าสยดสยอง, แย่สุดๆ
horror	ความสยองขวัญ
horse	ม้า
hospital	โรงพยาบาล
host	เจ้าภาพ, พิธีกร
hot	ร้อน
hotel	โรงแรม
hour	ชั่วโมง
house	บ้าน (ตัวอาคาร)
household	ครัวเรือน
housing	ที่อยู่อาศัย
how	อย่างไร
however	อย่างไรก็ดี
huge	ใหญ่มหึมา
human	มนุษย์
humor	อารมณ์ขัน
humorous	ชวนขบขัน
hundred	หนึ่งร้อย
hungry	หิว
hunt	ล่าสัตว์
hunting	การล่าสัตว์
hurricane	พายุเฮอริเคน
hurry	ความรีบเร่ง
hurt	เจ็บ, ทำร้าย
husband	สามี
I	ฉัน, ผม
ice	น้ำแข็ง
ice cream	ไอศกรีม
idea	ความคิด, ไอเดีย
ideal	ในอุดมคติ
identify	ระบุตัวตน, ชี้ตัว
identity	อัตลักษณ์, ตัวตน
if	ถ้า
ignore	เพิกเฉย, เมิน
ill	ป่วย
illegal	ผิดกฎหมาย
illness	ความเจ็บป่วย
illustrate	วาดภาพประกอบ, ยกตัวอย่างให้เห็น
illustration	ภาพประกอบ
image	ภาพลักษณ์, รูปภาพ
imaginary	ในจินตนาการ
imagination	จินตนาการ
imagine	จินตนาการ, นึกภาพ
immediate	ทันทีทันใด
immediately	โดยทันที
immigrant	ผู้อพยพย้ายถิ่น
impact	ผลสะเทือน, อิมแพกต์
impatient	ใจร้อน, หมดความอดทน
imply	บอกเป็นนัย
import	สินค้านำเข้า
importance	ความสำคัญ
important	สำคัญ
impose	บังคับใช้, ยัดเยียด
impossible	เป็นไปไม่ได้
impress	ทำให้ประทับใจ
impressed	รู้สึกประทับใจ
impression	ความประทับใจแรก
impressive	น่าประทับใจ
improve	ปรับปรุงให้ดีขึ้น
improvement	การปรับปรุง
in	ใน
inch	นิ้ว (หน่วยวัด)
incident	เหตุการณ์ (ไม่คาดฝัน)
include	รวมถึง
included	ที่รวมอยู่ด้วย
including	รวมทั้ง
income	รายได้
increase	เพิ่มขึ้น
increasingly	มากขึ้นเรื่อยๆ
incredible	เหลือเชื่อ
incredibly	อย่างไม่น่าเชื่อ
indeed	จริงทีเดียว
independent	เป็นอิสระ, เป็นตัวของตัวเอง
indicate	บ่งชี้
indirect	ทางอ้อม
individual	ปัจเจกบุคคล
indoor	ในร่ม
indoors	อยู่ในอาคาร
industrial	เชิงอุตสาหกรรม
industry	อุตสาหกรรม
infection	การติดเชื้อ
influence	อิทธิพล
inform	แจ้งให้ทราบ
informal	ไม่เป็นทางการ
information	ข้อมูลข่าวสาร
ingredient	ส่วนผสม (อาหาร)
initial	เริ่มแรก
initially	ในตอนแรก
initiative	ความริเริ่ม, โครงการริเริ่ม
injure	ทำให้บาดเจ็บ
injured	ได้รับบาดเจ็บ
injury	อาการบาดเจ็บ
inner	ชั้นใน, ภายใน
innocent	บริสุทธิ์, ไร้เดียงสา
inquiry	การสอบถาม, การไต่สวน
insect	แมลง
inside	ข้างใน
insight	ความเข้าใจเชิงลึก
insist	ยืนกราน
inspire	สร้างแรงบันดาลใจ
install	ติดตั้ง
instance	ตัวอย่างกรณี
instead	แทนที่
institute	สถาบัน (วิจัย/วิชาชีพ)
institution	สถาบัน (องค์กรหลักของสังคม)
instruction	คำสั่ง, วิธีใช้
instructor	ครูฝึก
instrument	เครื่องดนตรี, เครื่องมือวัด
insurance	ประกันภัย
intelligence	สติปัญญา
intelligent	เฉลียวฉลาด
intend	ตั้งใจจะ
intended	ที่เจตนาไว้
intense	เข้มข้นรุนแรง
intention	เจตนา
interest	ความสนใจ, ดอกเบี้ย
interested	รู้สึกสนใจ
interesting	น่าสนใจ
internal	ภายใน (องค์กร/ร่างกาย)
international	ระหว่างประเทศ
internet	อินเทอร์เน็ต
interpret	ตีความ, ล่ามแปล
interrupt	พูดแทรก, ขัดจังหวะ
interview	การสัมภาษณ์
into	เข้าไปใน
introduce	แนะนำให้รู้จัก
introduction	บทนำ, การแนะนำตัว
invent	ประดิษฐ์คิดค้น
invention	สิ่งประดิษฐ์
invest	ลงทุน
investigate	สืบสวน
investigation	การสอบสวน
investment	การลงทุน
invitation	คำเชิญ
invite	เชิญ
involve	เกี่ยวพันถึง, มีส่วนเกี่ยวข้อง
involved	เข้าไปพัวพัน
iron	เหล็ก, เตารีด
island	เกาะ
issue	ประเด็นปัญหา
IT	ไอที (เทคโนโลยีสารสนเทศ)
item	รายการ, ชิ้น
its	ของมัน
itself	ตัวมันเอง
jacket	เสื้อแจ็กเก็ต
jam	แยม, การติดขัด
January	เดือนมกราคม
jazz	ดนตรีแจ๊ส
jeans	กางเกงยีนส์
jewelry	เครื่องประดับ
job	งาน (อาชีพ)
join	เข้าร่วม
joke	เรื่องตลก, มุก
journal	วารสาร
journalist	นักข่าว
journey	การเดินทาง (ระยะไกล)
joy	ความปีติยินดี
judge	ผู้พิพากษา, กรรมการตัดสิน
judgment	คำตัดสิน, วิจารณญาณ
juice	น้ำผลไม้
July	เดือนกรกฎาคม
jump	กระโดด
June	เดือนมิถุนายน
junior	รุ่นน้อง, ระดับต้น
just	เพิ่งจะ, เพียงแค่
justice	ความยุติธรรม
justify	หาเหตุผลรองรับ
keep	เก็บไว้, รักษาไว้
key	กุญแจ
keyboard	แป้นพิมพ์, คีย์บอร์ด
kick	เตะ
kid	เด็ก (ภาษาพูด)
kill	ฆ่า
killing	การสังหาร
kilometer	กิโลเมตร
kind	ชนิด, ใจดี
king	พระราชา
kiss	จูบ
kitchen	ห้องครัว
knee	หัวเข่า
knife	มีด
knock	เคาะ
know	รู้, รู้จัก
knowledge	ความรู้
lab	ห้องแล็บ
label	ฉลาก, ป้าย
labor	แรงงาน
laboratory	ห้องปฏิบัติการ
lack	ความขาดแคลน
lady	สุภาพสตรี
lake	ทะเลสาบ
lamp	โคมไฟ
land	แผ่นดิน, ที่ดิน
landscape	ภูมิทัศน์, ทิวทัศน์
language	ภาษา
laptop	โน้ตบุ๊ก, แล็ปท็อป
large	ใหญ่โต, ขนาดใหญ่
largely	ส่วนใหญ่แล้ว
last	สุดท้าย, ล่าสุด
late	สาย, ดึก
later	ทีหลัง
latest	ล่าสุด, ใหม่สุด
laugh	หัวเราะ
laughter	เสียงหัวเราะ
launch	เปิดตัว, ปล่อย (จรวด)
law	กฎหมาย
lawyer	นักกฎหมาย, ทนาย
lay	วางลง
layer	ชั้น (ที่ซ้อนกัน)
lazy	ขี้เกียจ
lead	นำ, เป็นผู้นำ
leader	ผู้นำ
leadership	ภาวะผู้นำ
leading	ชั้นนำ
leaf	ใบไม้
league	ลีก (การแข่งขัน)
lean	เอนตัว, พิง
learn	เรียนรู้
learning	การเรียนรู้
