id,word,definition
331,Afterthought,something you think of or mention later because it was not included beforehand
332,Afterwards,following; after a previous event
333,Against,anti; not in favor of
334,Agape,open
335,Age,the amount of time someone or something has been living
336,Agency,"a business, usually government related, that provides a particular service"
337,Agenda,a list of matters to be discussed at a meeting
338,Agent,a person who acts on behalf of an individual or some other group
339,Agglomeration,a collection or mass of things
340,Aggrandize,"make great or greater in power, rank, honor, or wealth; increase"
341,Aggrandizement,"an increase in power, importance, or reputation that is undeserved"
342,Aggravate,"to make worse, or more severe"
343,Aggregate,to place into a category or cluster
344,Aggregator,someone or something that gathers together materials from a variety of sources and combines them into one
345,Aggression,violent and hostile behavior
346,Aggressive,pushy or forceful when trying to get others to believe or do something
347,Aggressor,the person or country that first attacks or makes an aggression
348,Aggrieve,to badly mistreat/make upset
349,Aggrieved,angry or resentful due to unjust treatment
350,Aghast,shocked or surprised in an upsetting way
351,Agile,able to move fast and easily
352,Agility,"nimbleness and quickness of motion, both physically and figuratively"
353,Agitate,to disturb or upset
354,Agitated,upset; disturbed
355,Agitation,a stirring up or arousing; disturbance of tranquility 
356,Agitprop,something that looks like art but is actually political propaganda or misinformation
357,Agnostic,unsure about the existence of a god or holy being
358,Agnostic,someone who believes there is no way to know if God does or does not exist
359,Agnostic,a person who knows there is no way to know if God exists or not
360,Agog,filled with anticipation and excitement
361,Agonize,to endure a great deal of distress
362,Agonizing,distressing; painful
363,Agony,intense pain or suffering
364,Agoraphobia,"the fear of wide open spaces, crowds, or uncontrolled social conditions"
365,Agrarian,associated with land cultivation
366,Agree,to say yes or give consent
367,Agreeable,nice and good; pleasant
368,Agreement,a contract or deal
369,Agribusiness,any business that has to do with agriculture and supplies associated with farming
370,Agriculture,the discipline of farming
371,Agronomy,science of soil management and crop production
372,Ague,"a fever that causes you to shake, sweat and feel cold"
373,Aha moment,a moment of sudden insight
374,Ahead,to move forward from current placement
375,Ahem,"an utterance similar to the sound of clearing one's throat, used to attract attention or fill in a pause"
376,Aid,to back or help someone or something so they are successful
377,Ail,"a trouble, symptom, or affliction"
378,Ailing ,not feeling well
379,Ailment,a condition that affects a person’s mental or physical wellbeing
380,Ailurophile,a person who loves cats
381,Aim,to point something in a certain direction
382,Aimlessly,"without an aim, purpose or direction"
383,Air,the invisible mixture of gases that covers the earth
384,Aisle,a clear path between rows of seating
385,Ajar,slightly opened
386,Akimbo,with the hand on the hip and elbow turned outward
387,Akin,similar in nature
388,Alabaster,"a smooth, white, and often translucent hard material that is typically carved"
389,Alacritous,being eager and willing
390,Alacrity,Cheerful willingness and eagerness
391,Alas,disappointingly; unfortunately
392,Albatross,a species of large seafaring bird that is found mostly in the south Pacific
393,Albeit,even though; although
394,Albinism,"an inherited condition that one is born with that involves lack of color in the pigment that colors hair, skin, and eyes"
395,Alchemist,a person who practiced a medieval form of chemistry that dealt with metal transformations
396,Alchemy,a kind of chemistry that is associated with changing something ordinary into something extraordinary
397,Alcove,a small area that is secluded from a large space
398,Aleatory,"random, dependent on luck or chance"
399,Alert,to strongly make someone or something aware of trouble or something dangerous that is about to occur
400,Alfresco,"outdoors, open to the atmosphere"
401,Algae,an organism often found on or in bodies of water that resembles a plant or moss and uses photosynthesis to supply oxygen
402,Algorithm,set of instructions
403,Alias,an alternate name used by a person who wishes to keep his or her identity secret
404,Alibi,a reason or excuse why someone could not have done something
405,Alien,different from the norm or what is considered to be acceptable
406,Alienate,to make an individual feel unwanted or removed from a group or relationship 
407,Alight,to descend from something 
408,Align,line up; straighten
409,Alignment,positioning of things so that they are in a straight line
410,Alike,similar in a certain way
411,Aliment,a minor illness or sickness
412,Alimentary,"of, or relating to food, nutrition or digestion"
413,Alimony,payment paid to one’s former spouse to support their living
414,Alive,"living, not dead"
415,All the While,in reference to something that happens continuously
416,All the while,for that whole period of time; happening continually during that time
417,All-around,versatile; able to do many things
418,Allay,to make quiet or calm
419,Allegation,"a claim or a statement saying someone has done something illegal or wrong, which is not necessarily based on facts"
420,Allege,to claim without evidence
421,Alleged,questionable; not confirmed
422,Allegedly,suspected of participating in something immoral or illegal 
423,Allegiance,"loyalty to some cause, nation or ruler"
424,Allegory ,a representation or story in which personalities and incidents act as symbols depicting beliefs related to human beings or specific situations
425,Allele,an alternative pattern of a gene that results in a variation of a trait
426,Alleviate,"to make something less painful, severe, or serious"
427,Alley,a narrow passageway
428,Alliance,an association between parties or states with similar interests
429,Allies,friends or supporters; those who can be trusted
430,Alliteration,the recurrence of consonants at the start of two or more terms 
431,Allocate,to give out according to a system
432,Allocation,an amount of something that is given out or shared
433,Allocution,a speech given to a convicted defendant by the judge just prior to sentencing
434,Allot ,to give out proportionately
435,Allotment,one share of something that has been given out in portions
436,Allow,to permit or let something happen
437,Allowance,a share or portion of something that is granted by another person
438,Allowed,permitted or let something happen
439,Allowed,let or permitted someone to do something
440,Alloy,a mixed metal made by combining two or more others that is usually stronger than pure metals
441,Allude,to make an indirect reference
442,Allure,a quality that produces attraction
443,Allusion,a statement that refers to something indirectly; an indirect reference
444,Allusion,a figure of speech that is used in literature to make an indirect reference to something
445,Allusive,"implying, hinting or indirectly suggesting something"
446,Alluvial,"related to alluvium, a deposit of clay, silt, and gravel left by a flowing river in a delta"
447,Ally,a friend; someone who is ready to help you
448,Alma mater,the school or college that one attended
449,Almanac,an annual calendar with important events and astronomical data
450,Almighty,omnipotent or having complete power
451,Almost,very nearly but not exactly or entirely
452,Alms,items which are given to the needy
453,Aloft,in the air or sky
454,Alone,having no one else present; on one's own
455,Along,beside or by-the-side of something else
456,Alongside,along the side; by the side; side by side with
457,Aloof,removed or distant either physically or emotionally
458,Alpine,part of a high mountain
459,Already,at present; even now
460,Alter ego,"an alternative personality, identity, or mannerism"
461,Alter,to change in some way
462,Alteration,the condition of being changed
463,Altercation,a loud and heated disagreement 
464,Alternate,when one thing comes after another; fluctuate
465,Alternative,alternative means another possibility that is available
466,Altimeter,an instrument used in an aircraft to measure altitude/the distance above sea or land
467,Altitude,the height of something above sea level or the earth's surface
468,Altitudinous,being at or having a very high level of elevation
469,Altruist,regard for others without regard for oneself; devotion
470,Altruistic,sincerely concerned about the well being of others
471,Alum,a chemical substance containing aluminum used in dye things or to make the skin tighter
472,Alumna,a female graduate of a school or university
473,Alumnus,"an individual who graduated from or took classes at a specific university, school, or college "
474,Alveoli,sacs in the lungs which gather and filter oxygen
475,Amalgam,a mixture of unlike items
476,Amalgamate,to join or combine
477,Amalgamation,the process of combining two or more companies 
478,Amanuensis,a secretary whose job is to write or type what someone else is saying
479,Amass,to bring together a large amount
480,Amateur,person who engages in a particular activity without pursuing it professionally
481,Amatory,associated with expressing erotic or sexual love
482,Amaze,"to fill with surprise, astonish"
483,Amazed,shocked; stunned
484,Amazement,the condition of being surprised or overcome by wonder 
485,Amazing,impressive; incredible
486,Ambassador ,a diplomat of the highest rank who acts as a spokesperson for his country while residing in another nation 
487,Amber,a yellowy-tan color 
488,Ambiance,the mood in a place
489,Ambidextrous,"having equal ability in both hands; in particular, able to write equally well with both hands"
490,Ambient ,producing a mood or effect by being present 
491,Ambiguity,something that does not have a clear meaning
492,Ambiguous,confusing; difficult to understand
493,Ambition,a desire to accomplish (complete) a task
494,Ambitious,strongly desirous and determined to succeed
495,Ambivalence,mixed feelings or emotions
496,Ambivalent,uncertain as to which path to take
497,Amble,to stroll in a relaxed manner
498,Ambrosial,appealing to one’s sense of smell or taste 
499,Ambulatory ,capable of moving around physically
500,Ambuscade,a deadly strike
501,Ambush,the act of concealing oneself and lying in wait to attack by surprise
502,Ameliorate,to make better
503,Ameliorate,to make something better or more manageable
504,Amenable,willing to comply or cooperate
505,Amend,to make better
506,Amendment,a change or alteration
507,Amends,to fix a mistake that you made or to make a bad situation better; to make right
508,Amenity,a thing or condition that makes an event or life more enjoyable
509,Amiable,being nice; displaying a friendly and pleasant manner
510,Amicable,showing a polite and friendly desire to avoid disagreement and argument
511,Amid,in the middle of; surrounded by
512,Amidst,in the middle or mist of
513,Amiss,improper; wrong
514,Amity,a supportive relationship between people or countries
515,Amnesia,loss of memory; forgetfulness
516,Amnesty,a formal pardon or reprieve given to one who has committed a criminal or political offense 
517,Amoeba,a single-celled animal which catches food and moves about by extending finger-like projections
518,Amok,a desire or passion to attack or murder
519,Amongst,surrounded by; In the company of
520,Amoral ,not concerned about what is moral or immoral
521,Amorous,having or showing strong feelings of sexual attraction or love
522,Amorphous,having no clear shape or form
523,Amortization,the process of determining the cost of something intangible over time
524,Amortize,to the amount of a loan or debt by paying small payments over time
525,Amount,the total number or quantity
526,Amour,a secret lover
527,Amphibious,capable of functioning on land or in water
528,Amphitheater,"an open-air theatre used for entertainment, performances, and sports"
529,Ample ,an abundant amount
530,Amplify,"to render larger, more extended, or more intense"
531,Amplitude,"the measure of something's size, especially in terms of width or breadth; largeness, magnitude"
532,Amulet,a necklace with an ornament to ward off harm
533,Amusement,fun or entertainment
534,Amusing,adding humor or fun to something
535,Anachronism,"something that doesn't fit its time period, like if you say you'll ""dial"" your smartphone"
536,Anaerobic ,existing without oxygen
537,Anagram,a word formed from the rearranged letters of another word
538,Analogous,similar
539,Analogy,a comparison to show similarity between two things
540,Analyses ,the plural form of analysis that represents the breaking down of larger elements into their smaller features
541,Analysis,the breaking down of something complex into smaller elements so it can be evaluated
542,Analyst,a qualified person who can decipher data 
543,Analytical,involving the approach of separating a larger item into smaller parts for ease of reviewing
544,Analyze,to review thoroughly and in a logical manner
545,Anaphase,the stage in mitosis in which the cell starts to lengthen and the two members of each chromosome pair separate and move toward opposite poles
546,Anaphora,repetition of a phrase used for emphasis
547,Anarchist,a person who acts against the orders of a ruling body
548,Anarchy,chaos resulting from a lack of order or authority
549,Anathema,something or someone that one strongly dislikes; someone who is cursed or shunned
550,Anatomical,structural; bodily
551,Anatomy,the review of a plant or animal’s structure
552,Ancestor,a member of your family who lived a long time ago
553,Ancestor,family relative or thing that existed long ago
554,Ancestral,referring to the family’s predecessors
555,Anchor,a person or mainstay that can be relied on for support or security
556,Ancient,referring to something that is extremely old or something that happened long ago
557,Ancillary,"in addition to the main unit, worker, or task"
558,Andragogy,the practice of teaching adult learners
559,Androgynous,partly female and partly male in appearance
560,Anecdotal,"not necessarily true or dependable, because based on someone's personal experience and not on facts or research"
561,Anecdote,"a brief, often funny, telling of something that happened "
562,Anecdote,an interesting or amusing short story
563,Anemia,"a medical condition in which your blood does not transport enough oxygen to the rest of your body, either because of too few red blood cells, or because of too little hemoglobin"
564,Anemic,exhausted; weak
565,Anesthetize,to give a person or animal medication that will put them in an unconscious or comatose state 
566,Aneurysm,an abnormal blood-filled bulge of a blood vessel and especially an artery resulting from weakening as from disease of the vessel wall 
567,Anew,to take place once more
568,Anfractuous,having many winding twists and turns
569,Angelic,pure and innocent like an angel
570,Anger,"a strong feeling of being annoyed, irritated, or hostile"
571,Angrily,with rage
572,Angry,having a strong feeling of being upset or annoyed
573,Angst,a mood associated with intense worry and unhappiness
574,Anguish,extreme suffering or grief
575,Angular,so thin or skinny that one’s bones can be seen 
576,Anhedonia,the physical and mental inability to get feelings of pleasure from typically enjoyable activities
577,Anhydrous,describes a substance that has no water
578,Animadversion,a judgmental remark or criticism
579,Animal,"a living, breathing organism"
580,Animate,to become enlivened and stimulated
581,Animated,active and energetic
582,Animation,the technique causing images to appear to move 
583,Animism,a belief that natural objects have spirits
584,Animosity,a strong feeling of disliking someone or something
585,Animus,an intense feeling of loathing or disgust; hatred
586,Annals,a record of historical events (in chronological order)
587,Anneal,to heat and slow cool metal or glass in order to toughen it
588,Annex ,a new part of a building or dwelling
589,Annexation,"the official action of securing something by taking it over, often relating to land"
590,Annihilate,"to destroy, to eradicate"
591,Anniversary,the date on which an even took place the year before
592,Annotate,to add notes to a text or diagram in order to provide additional insight and understanding about something
593,Annotation,a note or comment added to a document or book
594,Announce,to give out news in a public way
595,Announcement,a public statement or report that gives information to those listening or viewing
596,Annoy,to irritate or bother someone to the point of aggravation
597,Annoyance,irritation; nuisance
598,Annual,happening once a year
599,Annuity,an allotment of money paid from an insurance company either in a full payment or in installments usually for retirement purposes
600,Annul,to officially make something invalid 
601,Anodyne ,something used to comfort or relieve pain
602,Anomalous,"unordinary, unusual, or distinctly different from the norm"
603,Anomaly,something unusual or unexpected
604,Anomie,social instability caused by erosion of standards and values 
605,Anon,in a short time; soon
606,Anonymity,the condition of having one’s identity unknown
607,Anonymous,not named
608,Answer,to give a response
609,Antagonism,strong dislike
610,Antagonist,a challenger or foe
611,Antagonistic,showing or feeling aggression or hostility towards something
612,Antagonize,to trigger hostility or anger
613,Ante,to make an investment in money before knowing one’s chances 
614,Antebellum ,during the time before the American Civil War
615,Antecedent,something that came before something else and may have influenced or caused it
616,Antedate,to occur before something else
617,Antediluvian,greatly out of date
618,Antemeridian,in the morning or before noon
619,Anterior,nearer the front
620,Anteroom,a small waiting area that leads into a bigger room
621,Anthem,"a song that is said to represent the masses, whether it be cultural or social"
622,Anthology,a collection of writings
623,Anthropoid,"having characteristics of a human being, usually in terms of shape or appearance"
624,Anthropologist,an individual who studies the development of human beings
625,Anthropology,the study of the origin of mankind
626,Anthropomorphic,having attributes of humans
627,Anthropomorphism,giving human traits to objects and living creatures that are not human
628,Anti-Semitism ,hostility towards Jewish people because of their religion and/or ethnicity
629,Anti,opposed to or against
630,Antibiotic,any substance that can destroy or inhibit the growth of bacteria and similar microorganisms
631,Antibody,a blood protein your body creates to fight disease
632,Anticipate ,ready for something to occur 
633,Anticipation,the condition of being excited about something that is going to occur
634,Anticipatory,happening or performed in anticipation of something
635,Anticlimactic,"lacking climax, disappointing or ironically insignificant following of impressive foreshadowing"
636,Anticlimax,a shift from an exciting event to a disappointing event
637,Antics,silly or outrageous conduct
638,Antidote,a substance to counteract a poison
