a, an	หนึ่ง, คำนำหน้านามไม่ชี้เฉพาะ
anything	สิ่งใดก็ตาม
anyway	อย่างไรก็ตาม, ยังไงซะ
anywhere	ที่ไหนก็ได้
apart	แยกห่างจากกัน
apartment	อะพาร์ตเมนต์, ห้องชุด
apologize	ขอโทษ
app	แอปพลิเคชัน
apparent	เห็นได้ชัด
apparently	ดูเหมือนว่า, เท่าที่เห็น
appeal	การร้องขอ, การอุทธรณ์
appear	ปรากฏตัว
appearance	รูปลักษณ์ภายนอก
apple	แอปเปิล
application	ใบสมัคร, การประยุกต์ใช้
apply	สมัคร, ประยุกต์ใช้
appointment	การนัดหมาย
appreciate	ซาบซึ้ง, เห็นคุณค่า
approach	วิธีการเข้าหา, แนวทาง
appropriate	เหมาะสม
approval	การอนุมัติ
approve	อนุมัติ, เห็นชอบ
approximately	โดยประมาณ
April	เดือนเมษายน
architect	สถาปนิก
architecture	สถาปัตยกรรม
area	พื้นที่, บริเวณ
argue	โต้เถียง
argument	การโต้แย้ง, ข้อพิพาท
arise	เกิดขึ้น (ปัญหา/สถานการณ์)
arm	แขน
armed	ติดอาวุธ
arms	อาวุธยุทโธปกรณ์
army	กองทัพบก
around	รอบๆ
arrange	จัดเตรียม, จัดแจง
arrangement	การจัดเตรียม
arrest	จับกุม
arrival	การมาถึง
arrive	มาถึง
art	ศิลปะ
article	บทความ
artificial	เทียม, ประดิษฐ์ขึ้น
artist	ศิลปิน
artistic	มีศิลปะ
as	ในฐานะ, เหมือนดั่ง
ashamed	ละอายใจ
aside	ไว้ข้างๆ, แยกไว้
ask	ถาม
asleep	หลับอยู่
aspect	แง่มุม
assess	ประเมิน
assessment	การประเมินผล
assignment	งานที่ได้รับมอบหมาย
assist	ช่วยเหลือ (อย่างเป็นทางการ)
assistant	ผู้ช่วย
associate	เชื่อมโยง, คบหา
associated	ที่เกี่ยวข้องกัน
association	สมาคม
assume	สันนิษฐาน, ทึกทักเอา
at	ที่ (ระบุตำแหน่ง/เวลา)
athlete	นักกีฬา
atmosphere	บรรยากาศ
attach	แนบ, ติด
attack	การโจมตี
attempt	ความพยายาม (ลองทำ)
attend	เข้าร่วม
attention	ความสนใจ, ความใส่ใจ
attitude	ทัศนคติ
attorney	ทนายความ (อเมริกัน)
attract	ดึงดูด
attraction	สิ่งดึงดูดใจ, แหล่งท่องเที่ยว
attractive	มีเสน่ห์ดึงดูด
audience	ผู้ชม
August	เดือนสิงหาคม
aunt	ป้า, น้าสาว, อาสาว
author	ผู้แต่ง, นักประพันธ์
authority	อำนาจหน้าที่, เจ้าหน้าที่รัฐ
automatic	อัตโนมัติ
automatically	โดยอัตโนมัติ
available	ว่าง, หาได้, พร้อมใช้
average	เฉลี่ย, ปานกลาง
avoid	หลีกเลี่ยง
award	รางวัล (ที่มอบให้)
aware	ตระหนักรู้
away	ห่างออกไป
awesome	เจ๋ง, ยอดเยี่ยม
awful	แย่มาก
baby	ทารก
back	หลัง, ด้านหลัง
background	ภูมิหลัง, พื้นหลัง
backward	ถอยหลัง, ย้อนกลับ
bacteria	แบคทีเรีย
bad	แย่, เลว
badly	อย่างแย่, อย่างมาก
bag	กระเป๋า, ถุง
bake	อบ (ขนม/อาหาร)
balance	ความสมดุล
ball	ลูกบอล
ban	สั่งห้าม, แบน
banana	กล้วย
band	วงดนตรี
bank	ธนาคาร
bar	บาร์, แท่ง
barrier	สิ่งกีดขวาง, อุปสรรค
base	ฐาน
baseball	กีฬาเบสบอล
based	ซึ่งตั้งอยู่บนฐานของ
basic	พื้นฐาน
basically	โดยพื้นฐานแล้ว
basis	หลักเกณฑ์, รากฐาน
basketball	กีฬาบาสเกตบอล
bath	การอาบน้ำ (ในอ่าง)
bathroom	ห้องน้ำ
battery	แบตเตอรี่
battle	การสู้รบ, ศึก
be	เป็น, อยู่, คือ
beach	ชายหาด
bean	ถั่ว (ฝัก/เมล็ด)
bear	ทนรับ, แบกรับ
beat	ตี, เอาชนะ
beautiful	สวยงาม
beauty	ความงาม
because	เพราะว่า
become	กลายเป็น
bed	เตียง
bedroom	ห้องนอน
bee	ผึ้ง
beef	เนื้อวัว
beer	เบียร์
before	ก่อน
beg	อ้อนวอน, ขอร้อง
begin	เริ่มต้น
beginning	จุดเริ่มต้น
behave	ประพฤติตัว
behavior	พฤติกรรม
behind	ข้างหลัง
being	สิ่งมีชีวิต, การดำรงอยู่
belief	ความเชื่อ
believe	เชื่อ
bell	กระดิ่ง, ระฆัง
belong	เป็นของ
below	ด้านล่าง
belt	เข็มขัด
bend	โค้งงอ, ก้ม
benefit	ผลประโยชน์
bent	ที่งอ, ที่บิดเบี้ยว
best	ดีที่สุด
bet	พนัน
better	ดีกว่า
between	ระหว่าง
beyond	เลยออกไป, เกินกว่า
bicycle	จักรยาน
big	ใหญ่
bike	จักรยาน (ภาษาพูด)
bill	บิลเรียกเก็บเงิน
billion	พันล้าน
biology	ชีววิทยา
bird	นก
birth	การเกิด
birthday	วันเกิด
bit	นิดหน่อย, ชิ้นเล็กๆ
bite	กัด
bitter	ขม
black	สีดำ
blame	โทษ, ตำหนิ
blank	ว่างเปล่า (กระดาษ/ช่อง)
blind	ตาบอด
block	บล็อก, ก้อนสี่เหลี่ยม
blog	บล็อก (บันทึกออนไลน์)
blond	ผมสีทอง
blood	เลือด
blow	เป่า, พัด
blue	สีน้ำเงิน
board	กระดาน, คณะกรรมการ
boat	เรือ
body	ร่างกาย
boil	ต้ม, เดือด
bomb	ระเบิด (ลูกระเบิด)
bond	พันธะ, สายสัมพันธ์
bone	กระดูก
book	หนังสือ
boot	รองเท้าบูต
border	พรมแดน
bored	รู้สึกเบื่อ
boring	น่าเบื่อ
born	เกิด
borrow	ยืม
boss	เจ้านาย
both	ทั้งสอง
bother	กวนใจ, รบกวน
bottle	ขวด
bottom	ก้น, ด้านล่างสุด
bowl	ชาม
box	กล่อง
boy	เด็กผู้ชาย
boyfriend	แฟนหนุ่ม
brain	สมอง
branch	กิ่งไม้, สาขา
brand	ยี่ห้อ, แบรนด์
brave	กล้าหาญ
bread	ขนมปัง
break	หัก, แตก, พัง
breakfast	อาหารเช้า
breast	หน้าอก, เต้านม
breath	ลมหายใจ
breathe	หายใจ
breathing	การหายใจ
bride	เจ้าสาว
bridge	สะพาน
brief	สั้นกระชับ
bright	สว่าง, ฉลาดหลักแหลม
brilliant	ปราดเปรื่อง, เลิศ
bring	นำมา, พามา
broad	กว้างขวาง
broadcast	ออกอากาศ, แพร่ภาพ
broken	ที่แตกหัก, เสีย
brother	พี่ชาย/น้องชาย
brown	สีน้ำตาล
brush	แปรง (ฟัน/ผม)
bubble	ฟองอากาศ
budget	งบประมาณ
build	สร้าง
building	อาคาร
bullet	กระสุนปืน
bunch	พวง, กลุ่มก้อน
burn	เผา, ไหม้
bury	ฝัง
bus	รถโดยสารประจำทาง
bush	พุ่มไม้
business	ธุรกิจ
businessman	นักธุรกิจ
busy	ยุ่ง
but	แต่
butter	เนย
button	กระดุม, ปุ่มกด
buy	ซื้อ
by	โดย, ข้างๆ
bye	บ๊ายบาย, ลาก่อน
cable	สายเคเบิล
cafe	ร้านกาแฟ, คาเฟ่
cake	เค้ก
calculate	คำนวณ
call	โทรหา, เรียก
calm	สงบ, ใจเย็น
camera	กล้องถ่ายรูป
camp	ค่าย, แคมป์
campaign	แคมเปญ, การรณรงค์
camping	การตั้งแคมป์
campus	วิทยาเขต, แคมปัส
can	สามารถ (กริยาช่วย)
cancel	ยกเลิก
cancer	โรคมะเร็ง
candidate	ผู้สมัคร (ตำแหน่ง/เลือกตั้ง)
candy	ลูกอม, ลูกกวาด
cannot	ไม่สามารถ
cap	หมวกแก๊ป, ฝาปิด
capable	มีขีดความสามารถ
capacity	ความจุ, ขีดความสามารถ
capital	เมืองหลวง
captain	กัปตัน
capture	จับตัว, ยึดครอง
car	รถยนต์
card	บัตร, การ์ด
care	การดูแลเอาใจใส่
career	อาชีพการงาน
careful	ระมัดระวัง
carefully	อย่างระมัดระวัง
careless	สะเพร่า, ไม่ระวัง
carpet	พรม
carrot	แครอท
carry	ถือ, แบก, ขนส่ง
cartoon	การ์ตูน
case	กรณี, คดี
cash	เงินสด
cast	นักแสดงทั้งหมด (ของเรื่อง)
cat	แมว
catch	จับ (ของที่ลอยมา), ตามทัน
category	หมวดหมู่
cause	สาเหตุ
CD	แผ่นซีดี
ceiling	เพดาน
celebrate	เฉลิมฉลอง
celebration	งานเฉลิมฉลอง
celebrity	คนดัง, เซเลบ
cell	เซลล์
cent	เหรียญเซนต์
center	ศูนย์กลาง
central	ส่วนกลาง, ใจกลาง
century	ศตวรรษ
ceremony	พิธีการ
certain	แน่ใจ, บางอย่าง
certainly	อย่างแน่นอน
chain	โซ่, เครือข่ายร้าน
chair	เก้าอี้
chairman	ประธาน (กรรมการ)
challenge	ความท้าทาย
champion	แชมป์, ผู้ชนะเลิศ
chance	โอกาส, ความบังเอิญ
change	เปลี่ยนแปลง
channel	ช่อง (ทีวี), ช่องทาง
chapter	บท (ในหนังสือ)
character	ตัวละคร, อุปนิสัย
characteristic	ลักษณะเฉพาะตัว
charge	ค่าธรรมเนียม, ข้อกล่าวหา
charity	องค์กรการกุศล
chart	แผนภูมิ, ชาร์ต
chat	พูดคุยเล่น, แชต
cheap	ถูก (ราคา)
cheat	โกง
check	ตรวจสอบ
cheerful	ร่าเริงแจ่มใส
cheese	เนยแข็ง, ชีส
chef	พ่อครัว, เชฟ
chemical	ทางเคมี
chemistry	วิชาเคมี
chest	หน้าอก (ทรวงอก)
chicken	ไก่
chief	หลัก, สูงสุด (ตำแหน่ง)
child	เด็ก, ลูก
childhood	วัยเด็ก
chip	มันฝรั่งทอดกรอบ, ชิป
chocolate	ช็อกโกแลต
choice	ตัวเลือก
choose	เลือก
church	โบสถ์
cigarette	บุหรี่
circle	วงกลม
circumstance	สถานการณ์แวดล้อม
cite	อ้างอิง (แหล่งที่มา)
citizen	พลเมือง
city	เมืองใหญ่
civil	เกี่ยวกับพลเรือน
claim	อ้างว่า, เคลม
class	ชั้นเรียน
classic	คลาสสิก, ขึ้นหิ้ง
classical	แนวคลาสสิก (ดนตรี/ศิลปะ)
classroom	ห้องเรียน
clause	อนุประโยค, ข้อสัญญา
clean	สะอาด
clear	ชัดเจน, ใส
clearly	อย่างชัดเจน
clerk	เสมียน, พนักงานร้าน
clever	ฉลาด
click	คลิก
client	ลูกค้า (ผู้ใช้บริการ)
climate	ภูมิอากาศ
climb	ปีน
clock	นาฬิกา (แขวน/ตั้ง)
close	ปิด
closed	ที่ปิดอยู่
closely	อย่างใกล้ชิด
closet	ตู้เสื้อผ้า
cloth	ผ้า
clothes	เสื้อผ้า
clothing	เครื่องนุ่งห่ม
cloud	เมฆ
club	สโมสร, ชมรม
clue	เบาะแส
coach	โค้ช, ผู้ฝึกสอน
coal	ถ่านหิน
coast	ชายฝั่งทะเล
coat	เสื้อโค้ต
code	รหัส, โค้ด
coffee	กาแฟ
coin	เหรียญ
cold	หนาว, เย็น
collapse	พังถล่ม, ทรุดลง
colleague	เพื่อนร่วมงาน
collect	เก็บสะสม, รวบรวม
collection	ของสะสม, คอลเลกชัน
college	วิทยาลัย
color	สี
colored	ที่มีสีสัน
column	คอลัมน์, เสา
combination	การผสมผสาน
combine	รวมเข้าด้วยกัน
come	มา
comedy	ละครตลก, คอมเมดี้
