comfort	ความสบายใจ, การปลอบโยน
deliberately	อย่างจงใจ
delicious	อร่อย
deliver	จัดส่ง
delivery	การจัดส่ง
demand	ความต้องการ (อุปสงค์), ข้อเรียกร้อง
demonstrate	สาธิต, แสดงให้เห็น
dentist	หมอฟัน
deny	ปฏิเสธ (ข้อกล่าวหา)
department	แผนก, ภาควิชา
departure	การออกเดินทาง
depend	ขึ้นอยู่กับ, พึ่งพา
depressed	ซึมเศร้า
depressing	ชวนหดหู่
depth	ความลึก
describe	บรรยาย, อธิบายลักษณะ
description	คำบรรยายลักษณะ
desert	ทะเลทราย
deserve	สมควรได้รับ
design	การออกแบบ
designer	นักออกแบบ
desire	ความปรารถนา
desk	โต๊ะทำงาน
desperate	สิ้นหวัง, กระเสือกกระสน
despite	ทั้งๆ ที่
dessert	ของหวาน
destination	จุดหมายปลายทาง
destroy	ทำลาย
detail	รายละเอียด
detailed	อย่างละเอียด
detect	ตรวจจับ
detective	นักสืบ
determine	กำหนด, ระบุชี้ขาด
determined	มุ่งมั่นเด็ดเดี่ยว
develop	พัฒนา
development	การพัฒนา
device	อุปกรณ์
diagram	แผนผัง, ไดอะแกรม
dialogue	บทพูดโต้ตอบ
diamond	เพชร
diary	ไดอารี่, สมุดบันทึก
dictionary	พจนานุกรม
die	ตาย, เสียชีวิต
diet	อาหารการกิน, การไดเอต
difference	ความแตกต่าง
different	แตกต่าง
differently	อย่างแตกต่าง
difficult	ยาก
difficulty	ความยากลำบาก
dig	ขุด
digital	ดิจิทัล
dinner	อาหารเย็น
direct	โดยตรง
direction	ทิศทาง
directly	อย่างตรงไปตรงมา, โดยตรง
director	ผู้กำกับ, ผู้อำนวยการ
dirt	สิ่งสกปรก, ดิน
dirty	สกปรก
disadvantage	ข้อเสียเปรียบ
disagree	ไม่เห็นด้วย
disappear	หายไป
disappointed	ผิดหวัง
disappointing	น่าผิดหวัง
disaster	ภัยพิบัติ
discipline	วินัย
discount	ส่วนลด
discover	ค้นพบ
discovery	การค้นพบ
discuss	อภิปราย, ถกเรื่อง
discussion	การพูดคุยแลกเปลี่ยน
disease	โรค
dish	จานอาหาร, เมนู
dishonest	ไม่ซื่อสัตย์
disk	จานแม่เหล็ก, ดิสก์
dislike	ไม่ชอบ
dismiss	ปัดตก, ไล่ออก
display	จัดแสดง
distance	ระยะทาง
distribute	แจกจ่าย, กระจาย
distribution	การกระจาย, การจัดจำหน่าย
district	เขต, อำเภอ
divide	แบ่ง, หาร
division	การแบ่งส่วน, ฝ่าย
divorced	หย่าร้าง
do	ทำ
doctor	หมอ, แพทย์
document	เอกสาร
documentary	สารคดี
dog	สุนัข
dollar	เงินดอลลาร์
domestic	ภายในประเทศ, ในครัวเรือน
dominate	ครอบงำ, มีอิทธิพลเหนือ
donate	บริจาค
door	ประตู
double	สองเท่า, คู่
doubt	ความสงสัยคลางแคลง
down	ลง, ข้างล่าง
download	ดาวน์โหลด
downstairs	ชั้นล่าง
downtown	ย่านใจกลางเมือง
downward	มุ่งลงด้านล่าง
dozen	โหล
draft	ฉบับร่าง
drag	ลาก
drama	ละครดราม่า
dramatic	หวือหวา, ราวกับละคร
draw	วาดรูป
drawing	ภาพวาด (ลายเส้น)
dream	ความฝัน
dress	ชุดกระโปรง, เดรส
dressed	แต่งตัวแล้ว
drink	เครื่องดื่ม
drive	ขับรถ
driver	คนขับรถ
driving	การขับรถ
drop	ทำตก, หล่น
drug	ยา, ยาเสพติด
drum	กลอง
drunk	เมา
dry	แห้ง
due	ถึงกำหนด, อันเนื่องมาจาก
during	ในระหว่าง
dust	ฝุ่น
duty	หน้าที่
DVD	แผ่นดีวีดี
each	แต่ละ
ear	หู
early	เช้าตรู่, แต่เนิ่นๆ
earn	หารายได้
earth	โลก
earthquake	แผ่นดินไหว
easily	อย่างง่ายดาย
east	ทิศตะวันออก
eastern	ฝั่งตะวันออก
easy	ง่าย
eat	กิน
economic	ทางเศรษฐกิจ
economy	เศรษฐกิจ
edge	ขอบ, ริม
edit	แก้ไขตัดต่อ
edition	ฉบับพิมพ์ (ครั้งที่)
editor	บรรณาธิการ
educate	ให้การศึกษา
educated	มีการศึกษา
education	การศึกษา
educational	เชิงการศึกษา
effect	ผลกระทบ (ผลลัพธ์)
effective	มีประสิทธิผล, ได้ผล
effectively	อย่างได้ผล
efficient	มีประสิทธิภาพ (ไม่สิ้นเปลือง)
effort	ความพยายาม (แรงที่ทุ่มเท)
egg	ไข่
eight	แปด
eighteen	สิบแปด
eighty	แปดสิบ
either	อันใดอันหนึ่ง (ในสอง)
elderly	สูงอายุ
elect	เลือกตั้ง
election	การเลือกตั้ง
electric	ที่ใช้ไฟฟ้า
electrical	เกี่ยวกับไฟฟ้า
electricity	กระแสไฟฟ้า
electronic	อิเล็กทรอนิกส์
element	องค์ประกอบ, ธาตุ
elephant	ช้าง
elevator	ลิฟต์
eleven	สิบเอ็ด
else	อื่นอีก
elsewhere	ที่อื่น
email	อีเมล
embarrassed	รู้สึกอับอายขายหน้า
embarrassing	น่าขายหน้า
emerge	โผล่ออกมา, อุบัติขึ้น
emergency	เหตุฉุกเฉิน
emotion	อารมณ์ความรู้สึก
emotional	อ่อนไหวทางอารมณ์
emphasis	การเน้นย้ำ
emphasize	เน้นย้ำ
employ	ว่าจ้าง
employee	ลูกจ้าง, พนักงาน
employer	นายจ้าง
employment	การจ้างงาน
empty	ว่างเปล่า (ไม่มีของข้างใน)
enable	ทำให้เป็นไปได้, เปิดทาง
encounter	เผชิญ, พบเจอโดยบังเอิญ
encourage	ให้กำลังใจ, ส่งเสริม
end	จุดจบ, ปลาย
ending	ตอนจบ
enemy	ศัตรู
energy	พลังงาน
engage	เข้าไปมีส่วนร่วม, ว่าจ้าง
engaged	หมั้นแล้ว, ติดธุระ
engine	เครื่องยนต์
engineer	วิศวกร
engineering	วิศวกรรมศาสตร์
enhance	ยกระดับ, เสริมให้ดีขึ้น
enjoy	เพลิดเพลิน, สนุกกับ
enormous	มหึมา
enough	เพียงพอ
ensure	รับประกันให้แน่ใจ
enter	เข้าไป
entertain	ให้ความบันเทิง
entertainment	ความบันเทิง
enthusiasm	ความกระตือรือร้น
enthusiastic	อย่างใจจดใจจ่อ, กระตือรือร้น
entire	ทั้งหมดทั้งสิ้น
entirely	โดยสิ้นเชิง
entrance	ทางเข้า
entry	การเข้า, รายการที่ส่งประกวด
environment	สิ่งแวดล้อม
environmental	ด้านสิ่งแวดล้อม
episode	ตอน (ของซีรีส์)
equal	เท่าเทียมกัน
equally	อย่างเท่าเทียม
equipment	อุปกรณ์เครื่องมือ
error	ข้อผิดพลาด
escape	หลบหนี
especially	โดยเฉพาะอย่างยิ่ง
essay	เรียงความ
essential	จำเป็นอย่างยิ่ง
establish	ก่อตั้ง
estate	ที่ดิน, อสังหาริมทรัพย์
estimate	ประมาณการ
ethical	มีจริยธรรม
euro	เงินยูโร
evaluate	ประเมินค่า
even	แม้กระทั่ง
evening	ตอนเย็น
event	เหตุการณ์, งานอีเวนต์
eventually	ในที่สุด
ever	เคย
every	ทุกๆ
everybody	ทุกคน (ภาษาพูด)
everyday	ในชีวิตประจำวัน
everyone	ทุกคน
everything	ทุกสิ่ง
everywhere	ทุกที่
evidence	หลักฐาน
evil	ชั่วร้าย
exact	เที่ยงตรง, เป๊ะ
exactly	อย่างแม่นยำ, เป๊ะๆ
exam	การสอบ
examination	การสอบไล่, การตรวจวินิจฉัย
examine	ตรวจสอบอย่างละเอียด
example	ตัวอย่าง
excellent	ยอดเยี่ยม
except	ยกเว้น
exchange	การแลกเปลี่ยน
excited	รู้สึกตื่นเต้น
excitement	ความตื่นเต้น
exciting	น่าตื่นเต้น
excuse	ข้อแก้ตัว
executive	ผู้บริหาร
exercise	การออกกำลังกาย
exhibit	จัดนิทรรศการ, แสดงออก
exhibition	งานนิทรรศการ
exist	มีอยู่, ดำรงอยู่
existence	การดำรงอยู่
exit	ทางออก
expand	ขยายตัว
expect	คาดหวัง
expectation	ความคาดหวัง
expected	ที่คาดไว้
expense	ค่าใช้จ่าย
expensive	แพง
experience	ประสบการณ์
experienced	มากประสบการณ์
experiment	การทดลอง
expert	ผู้เชี่ยวชาญ
explain	อธิบาย
explanation	คำอธิบาย
explode	ระเบิด (แตกออก)
exploration	การสำรวจ
explore	สำรวจ
explosion	การระเบิด
export	สินค้าส่งออก
expose	เปิดโปง, ทำให้สัมผัสกับ
express	แสดงออก (ความรู้สึก/ความเห็น)
expression	สีหน้า, การแสดงออก
extend	ขยายออก, ต่อเวลา
extent	ขอบเขต, ระดับ
external	ภายนอก
extra	พิเศษ, เพิ่มเติม
extraordinary	พิเศษเหนือธรรมดา
extreme	สุดขั้ว
extremely	อย่างสุดขีด
