least	น้อยที่สุด
meeting	การประชุม
melt	ละลาย
member	สมาชิก
memory	ความทรงจำ
mental	ทางจิตใจ
mention	เอ่ยถึง
menu	เมนู
mess	ความรกเลอะเทอะ
message	ข้อความ
metal	โลหะ
meter	เมตร, มิเตอร์
method	วิธีการ
middle	ตรงกลาง
midnight	เที่ยงคืน
might	อาจจะ
mild	อ่อนๆ, ไม่รุนแรง
mile	ไมล์
military	ทางทหาร
milk	นม
million	หนึ่งล้าน
mind	จิตใจ
mine	ของฉัน (สรรพนามแสดงเจ้าของ)
mineral	แร่ธาตุ
minimum	ต่ำสุด
minister	รัฐมนตรี
minor	เล็กน้อย, รอง
minority	ชนกลุ่มน้อย, เสียงข้างน้อย
minute	นาที
mirror	กระจกเงา
miss	พลาด, คิดถึง
missing	ที่หายไป
mission	ภารกิจ
mistake	ความผิดพลาด
mix	ผสม
mixed	ที่ผสมกัน
mixture	ของผสม
model	นางแบบ, โมเดล
modern	ทันสมัย
modify	ดัดแปลงแก้ไข
mom	แม่ (ภาษาพูด)
moment	ชั่วขณะ
Monday	วันจันทร์
money	เงิน
monitor	จอมอนิเตอร์
monkey	ลิง
month	เดือน
mood	อารมณ์ (ชั่วขณะ)
moon	ดวงจันทร์
moral	ทางศีลธรรม
more	มากกว่า
morning	ตอนเช้า
most	มากที่สุด
mostly	โดยมาก
mother	แม่, มารดา
motor	มอเตอร์
motorcycle	รถจักรยานยนต์
mount	ขึ้นขี่, ติดตั้งยึด
mountain	ภูเขา
mouse	หนู, เมาส์
mouth	ปาก
move	เคลื่อนที่, ย้าย
movement	การเคลื่อนไหว
movie	หนัง, ภาพยนตร์ (อเมริกัน)
much	มาก (นับไม่ได้)
mud	โคลน
multiple	หลากหลาย, หลายเท่า
multiply	คูณ, ทวีจำนวน
murder	การฆาตกรรม
muscle	กล้ามเนื้อ
museum	พิพิธภัณฑ์
music	ดนตรี
musical	เกี่ยวกับดนตรี
musician	นักดนตรี
must	ต้อง
my	ของฉัน
myself	ตัวฉันเอง
mysterious	ลึกลับ
mystery	ปริศนา, เรื่องลึกลับ
nail	เล็บ, ตะปู
name	ชื่อ
narrative	เรื่องเล่า, การเล่าเรื่อง
narrow	แคบ
nation	ชาติ
national	แห่งชาติ
native	พื้นเมือง, เจ้าของภาษา
natural	ตามธรรมชาติ
naturally	โดยธรรมชาติ
nature	ธรรมชาติ
near	ใกล้
nearly	เกือบจะ
neat	เป็นระเบียบเรียบร้อย
necessarily	จำเป็นเสมอไป
necessary	จำเป็น
neck	คอ
need	ต้องการ (จำเป็น)
needle	เข็ม
negative	เชิงลบ
neighbor	เพื่อนบ้าน
neighborhood	ละแวกบ้าน, ย่าน
neither	ไม่ทั้งสองอย่าง
nerve	เส้นประสาท
nervous	ประหม่า
net	ตาข่าย, เน็ต
network	เครือข่าย
never	ไม่เคย
nevertheless	ถึงกระนั้น
new	ใหม่
news	ข่าว
newspaper	หนังสือพิมพ์
next	ถัดไป
next to	ติดกับ, ข้างๆ
nice	ดี, น่ารัก (นิสัย)
night	กลางคืน
nightmare	ฝันร้าย
nine	เก้า
nineteen	สิบเก้า
ninety	เก้าสิบ
no	ไม่
no one	ไม่มีใครเลย
nobody	ไม่มีใคร
noise	เสียงรบกวน
noisy	หนวกหู, เสียงดังจอแจ
none	ไม่มีสักอัน
nor	และไม่...ด้วย
normal	ปกติ
normally	ตามปกติ
north	ทิศเหนือ
northern	ทางตอนเหนือ
nose	จมูก
not	ไม่ (ปฏิเสธ)
note	โน้ต, บันทึกย่อ
nothing	ไม่มีอะไร
notice	สังเกตเห็น
notion	มโนทัศน์, ความคิดความเข้าใจ
novel	นิยาย
November	เดือนพฤศจิกายน
now	ตอนนี้
nowhere	ไม่มีที่ไหนเลย
nuclear	นิวเคลียร์
number	หมายเลข, จำนวน
numerous	มากมายหลายอย่าง
nurse	พยาบาล
nut	ถั่วเปลือกแข็ง, น็อต
obey	เชื่อฟัง
object	วัตถุ, สิ่งของ
objective	วัตถุประสงค์
obligation	พันธะหน้าที่
observation	การสังเกตการณ์
observe	เฝ้าสังเกต
obtain	ได้รับมา (อย่างเป็นทางการ)
obvious	ชัดแจ้ง, เห็นๆ กันอยู่
obviously	เห็นได้ชัดว่า
occasion	โอกาส (วาระ), คราว
occasionally	เป็นครั้งคราว
occur	อุบัติขึ้น, ปรากฏ
ocean	มหาสมุทร
o’clock	นาฬิกา (บอกเวลาเต็มชั่วโมง)
October	เดือนตุลาคม
odd	แปลกประหลาด, เลขคี่
of	ของ, แห่ง
off	ออกจาก, ปิด (สวิตช์)
offend	ทำให้ขุ่นเคือง
offense	ความผิด (กฎ/กฎหมาย), การรุก
offensive	ก้าวร้าวหยาบคาย, น่ารังเกียจ
offer	เสนอให้
office	สำนักงาน, ออฟฟิศ
officer	เจ้าหน้าที่, นายตำรวจ
official	อย่างเป็นทางการ
often	บ่อยๆ
oh	โอ้!
oil	น้ำมัน
OK	โอเค
old	แก่, เก่า
old-fashioned	ล้าสมัย, หัวโบราณ
on	บน
once	ครั้งหนึ่ง
one	หนึ่ง
onion	หัวหอม
online	ออนไลน์
only	เท่านั้น, เพียงผู้เดียว
onto	ขึ้นไปบน
open	เปิด
opening	ช่องเปิด, พิธีเปิด
operate	ปฏิบัติงาน, ผ่าตัด
operation	ปฏิบัติการ, การผ่าตัด
opinion	ความเห็น
opponent	ฝ่ายตรงข้าม
opportunity	โอกาส (จังหวะดี)
oppose	คัดค้าน
opposed	ที่ไม่เห็นด้วย
opposite	ตรงกันข้าม
opposition	ฝ่ายค้าน, การต่อต้าน
option	ออปชัน, ทางเลือก
or	หรือ
orange	ส้ม
order	คำสั่ง, การสั่งซื้อ
ordinary	ธรรมดาสามัญ
organ	อวัยวะ
organization	องค์กร
organize	จัดระเบียบ, จัดงาน
organized	เป็นระบบระเบียบ
organizer	ผู้จัดงาน
origin	ต้นกำเนิด
original	ดั้งเดิม, ต้นฉบับ
originally	แต่เดิมที
other	อื่นๆ
otherwise	มิฉะนั้น
ought	ควรจะ
our	ของพวกเรา
ours	ของพวกเรา (สรรพนามแสดงเจ้าของ)
ourselves	ตัวพวกเราเอง
out	ข้างนอก, ออก
outcome	ผลลัพธ์บั้นปลาย
outdoor	กลางแจ้ง
outdoors	นอกอาคาร
outer	รอบนอก
outline	เค้าโครง
outside	ด้านนอก
oven	เตาอบ
over	เหนือ, ข้ามผ่าน
overall	โดยรวม
overseas	โพ้นทะเล, เมืองนอก
owe	เป็นหนี้, ติดค้าง
own	เป็นเจ้าของ, ของตนเอง
owner	เจ้าของ
pace	จังหวะก้าว, ความเร็ว
pack	เก็บกระเป๋า, แพ็คของ
package	พัสดุ, แพ็กเกจ
page	หน้ากระดาษ
pain	ความเจ็บปวด
painful	เจ็บปวด
paint	ทาสี, วาดภาพระบายสี
painter	จิตรกร, ช่างทาสี
painting	ภาพเขียนสี
pair	คู่ (สิ่งของ)
palace	พระราชวัง
pale	ซีด
pan	กระทะ
panel	คณะผู้อภิปราย, แผงควบคุม
pants	กางเกง
paper	กระดาษ
paragraph	ย่อหน้า
parent	พ่อแม่
park	สวนสาธารณะ
parking	การจอดรถ, ที่จอดรถ
part	ส่วน, ชิ้นส่วน
participant	ผู้เข้าร่วม
participate	เข้าร่วม (กิจกรรม)
particular	เฉพาะเจาะจง
particularly	เป็นพิเศษ
partly	บางส่วน
partner	หุ้นส่วน, คู่ชีวิต
party	งานปาร์ตี้, พรรค
pass	ผ่าน, ส่งต่อ
passage	ข้อความตอนหนึ่ง, ทางผ่าน
passenger	ผู้โดยสาร
passion	ความหลงใหล, แพสชัน
passport	หนังสือเดินทาง
past	อดีต, ที่ผ่านมา
path	ทางเดิน, เส้นทาง
patient	คนไข้
pattern	ลวดลาย, รูปแบบซ้ำๆ
pay	จ่ายเงิน
payment	การชำระเงิน
peace	สันติภาพ
peaceful	สงบสุข
pen	ปากกา
pencil	ดินสอ
penny	เหรียญเพนนี
people	ผู้คน
pepper	พริกไทย
per	ต่อ (หน่วย)
percent	เปอร์เซ็นต์
percentage	อัตราร้อยละ
perfect	สมบูรณ์แบบ
perfectly	อย่างไร้ที่ติ
perform	แสดง, ปฏิบัติงาน
performance	การแสดง, ผลงาน
perhaps	บางทีอาจจะ
period	ช่วงเวลา, คาบ
permanent	ถาวร
permission	การอนุญาต
permit	อนุญาตให้ (ทางการ)
person	บุคคล
personal	ส่วนตัว
personality	บุคลิกภาพ
personally	โดยส่วนตัวแล้ว
perspective	มุมมอง
persuade	ชักชวน, เกลี้ยกล่อม
pet	สัตว์เลี้ยง
phase	ช่วงระยะ, เฟส
phenomenon	ปรากฏการณ์
philosophy	ปรัชญา
phone	โทรศัพท์
photo	รูปถ่าย
photograph	ภาพถ่าย
photographer	ช่างภาพ
photography	การถ่ายภาพ
phrase	วลี
physical	ทางกายภาพ
physics	ฟิสิกส์
piano	เปียโน
pick	หยิบ, เด็ด, เลือก
picture	รูปภาพ
piece	ชิ้น
pig	หมู
pile	กอง (ที่สุมกัน)
pilot	นักบิน
pin	เข็มหมุด
pink	สีชมพู
pipe	ท่อ
pitch	สนามแข่ง, ระดับเสียง
place	สถานที่
plain	เรียบๆ, ที่ราบ
plan	แผนการ
plane	เครื่องบิน
planet	ดาวเคราะห์
planning	การวางแผน
plant	พืช, ต้นไม้
plastic	พลาสติก
plate	จาน (แบน)
platform	ชานชาลา, แพลตฟอร์ม
play	เล่น
player	ผู้เล่น
pleasant	น่ารื่นรมย์
please	กรุณา, โปรด
pleased	พอใจ, ยินดี
pleasure	ความเพลิดเพลินยินดี
plenty	เหลือเฟือ
plot	โครงเรื่อง, แปลงที่ดิน
plus	บวกกับ
pocket	กระเป๋าเสื้อ/กางเกง
poem	บทกวี
poet	กวี
poetry	กวีนิพนธ์
point	จุด, ประเด็น
pointed	ปลายแหลม
poison	ยาพิษ
poisonous	มีพิษ
police	ตำรวจ
policeman	เจ้าหน้าที่ตำรวจ (ชาย)
policy	นโยบาย
polite	สุภาพ
political	ทางการเมือง
politician	นักการเมือง
politics	การเมือง
pollution	มลพิษ
pool	สระว่ายน้ำ
poor	จน, น่าสงสาร
pop	เพลงป๊อป
popular	เป็นที่นิยม
popularity	ความนิยม
population	ประชากร
port	ท่าเรือ
portrait	ภาพเหมือนบุคคล
pose	ก่อให้เกิด (ปัญหา), โพสท่า
position	ตำแหน่ง
positive	เชิงบวก
possess	ครอบครอง
possession	สิ่งครอบครอง, สมบัติ
possibility	ความเป็นไปได้
possible	เป็นไปได้
possibly	อาจเป็นได้
post	โพสต์, เสา, ไปรษณีย์
poster	โปสเตอร์
pot	หม้อ
potato	มันฝรั่ง
potential	ศักยภาพ, ที่อาจเกิดขึ้น
pound	ปอนด์
pour	ริน, เท
poverty	ความยากจน
powder	ผง, แป้งฝุ่น
power	พลัง, อำนาจ
powerful	ทรงพลัง
practical	ใช้งานได้จริง
practice	การฝึกฝน
praise	คำสรรเสริญ
pray	สวดมนต์, ภาวนา
prayer	บทสวด, คำอธิษฐาน
predict	ทำนาย
prediction	คำทำนาย
prefer	ชอบมากกว่า
pregnant	ตั้งครรภ์
preparation	การตระเตรียม
prepare	เตรียมตัว
prepared	เตรียมพร้อมแล้ว
presence	การปรากฏตัว
present	ปัจจุบัน, ของขวัญ
presentation	การนำเสนอ, พรีเซนต์
preserve	อนุรักษ์, ถนอมรักษา
president	ประธานาธิบดี
press	กด, สื่อสิ่งพิมพ์
pressure	ความกดดัน, แรงดัน
pretend	แกล้งทำ
pretty	น่ารักสวย, ค่อนข้าง
prevent	ป้องกัน
previous	ครั้งก่อนหน้า
previously	ก่อนหน้านี้
price	ราคา (ขาย)
priest	บาทหลวง, นักบวช
primary	ปฐมภูมิ, อันดับแรก
prime	สำคัญที่สุด, ชั้นเลิศ
prince	เจ้าชาย
princess	เจ้าหญิง
principal	ครูใหญ่, อาจารย์ใหญ่
principle	หลักการ
print	พิมพ์
printer	เครื่องพิมพ์
printing	การพิมพ์
priority	ลำดับความสำคัญ
prison	เรือนจำ
prisoner	นักโทษ
privacy	ความเป็นส่วนตัว
private	เอกชน, ส่วนบุคคล
prize	รางวัล (การแข่งขัน)
probably	น่าจะ, คงจะ
problem	ปัญหา
procedure	ขั้นตอนปฏิบัติ
process	กระบวนการ
produce	ผลิต
producer	ผู้ผลิต, โปรดิวเซอร์
product	ผลิตภัณฑ์
production	การผลิต
profession	วิชาชีพ
professional	มืออาชีพ
professor	ศาสตราจารย์
profile	โปรไฟล์, ประวัติย่อ
profit	กำไร
program	โปรแกรม, รายการ
progress	ความคืบหน้า
project	โครงการ, โปรเจกต์
promise	สัญญา (ให้คำมั่น)
promote	เลื่อนตำแหน่ง, โปรโมต
pronounce	ออกเสียง
proof	ข้อพิสูจน์
proper	ถูกต้องเหมาะควร
properly	อย่างถูกวิธี
property	ทรัพย์สิน, คุณสมบัติ
proposal	ข้อเสนอ, การขอแต่งงาน
propose	เสนอ, ขอแต่งงาน
prospect	ความหวังข้างหน้า, ลู่ทาง
protect	ปกป้อง, คุ้มครอง
protection	การคุ้มครอง
protest	การประท้วง
proud	ภูมิใจ
prove	พิสูจน์
provide	จัดหาให้
psychologist	นักจิตวิทยา
psychology	จิตวิทยา
public	สาธารณะ
publication	สิ่งตีพิมพ์, การตีพิมพ์
publish	ตีพิมพ์เผยแพร่
pull	ดึง
punish	ลงโทษ
punishment	บทลงโทษ
purchase	การจัดซื้อ
pure	บริสุทธิ์ (ไม่เจือปน)
purple	สีม่วง
purpose	จุดประสงค์
pursue	ไล่ตาม (เป้าหมาย)
push	ผลัก, ดัน
put	วาง, ใส่
qualification	คุณวุฒิ
qualified	มีคุณสมบัติครบ
qualify	ผ่านเกณฑ์, มีสิทธิ์
quality	คุณภาพ
quantity	ปริมาณ (จำนวน)
quarter	หนึ่งในสี่, ไตรมาส
queen	พระราชินี
question	คำถาม
quick	รวดเร็ว (ฉับไว)
quickly	อย่างรวดเร็ว
quiet	เงียบ
quietly	อย่างเงียบๆ
quit	เลิก, ลาออก
quite	ทีเดียว, พอสมควร
quotation	ข้อความที่ยกมา, ใบเสนอราคา
quote	ยกคำพูดมาอ้าง
